timestamp,vehicle_id,energy_delivered,charge_duration_minutes,total_depot_energy,chargers_in_use,vehicles_queued,energy_cost,datetime
68458.83652243788,5,64.07592802212903,15.37822272531097,5611.129310067977,5,6,10.412338303595968,2025-01-16 19:00:58.836522
68662.50426831713,86,64.97810279113011,15.594744669871227,5676.107412859107,5,5,10.558941703558643,2025-01-16 19:04:22.504268
68689.68297326974,70,63.266269193706194,15.183904606489486,5739.373682052814,5,4,10.280768743977257,2025-01-16 19:04:49.682973
69227.86252515162,3,62.48530933060252,14.996474239344606,5801.858991383417,5,3,10.15386276622291,2025-01-16 19:13:47.862525
69320.84830440978,37,64.59561295155268,15.502947108372643,5866.454604334969,5,2,10.49678710462731,2025-01-16 19:15:20.848304
69376.34725583845,15,63.716023152817655,15.291845556676238,5930.170627487787,5,1,10.35385376233287,2025-01-16 19:16:16.347256
69594.16139430035,26,64.6984115266124,15.527618766386977,5994.869039014399,5,0,10.513491873074516,2025-01-16 19:19:54.161394
69633.74263590999,54,65.55969879446172,15.734327710670811,6060.428737808861,4,0,10.65345105410003,2025-01-16 19:20:33.742636
70163.21568882029,89,64.95508081032436,15.589219394477848,6125.383818619185,3,0,10.555200631677709,2025-01-16 19:29:23.215689
70260.20859621039,32,65.23335359726391,15.65600486334334,6190.617172216449,2,0,10.600419959555387,2025-01-16 19:31:00.208596
70344.03476988203,85,67.20052180858188,16.128125234059652,6257.8176940250305,1,0,10.920084793894556,2025-01-16 19:32:24.034770
