trip_id,timestamp,origin_lat,origin_lon,origin_h3_cell,destination_lat,destination_lon,destination_h3_cell,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes
TRIP_000052,1234.7036207879685,41.070534,-81.543074,872ab3ac6ffffff,41.066053,-81.53294,872ab3ac6ffffff,0.8471225449714931,1.0,3.677698035977195,assigned,78.0,0.09801091058740201,0.23522618540976503
TRIP_000053,1241.3944473220997,41.0899367,-81.4565371,872ab3ae1ffffff,41.084197,-81.558167,872ab3af3ffffff,5.854546946061073,1.0,7.683637556848859,assigned,88.0,0.599020791031583,1.437649898475799
TRIP_000054,1265.9285451137996,41.101301,-81.561338,872ab3af3ffffff,41.1261002,-81.5129193,872ab3a1bffffff,4.902909285634121,1.0,6.922327428507296,assigned,34.0,1.5246019737591971,3.659044737022073
TRIP_000055,1273.907198835774,41.132868,-81.501177,872ab3a1bffffff,41.101597,-81.442244,872ab3ae5ffffff,4.229324423697686,1.0,6.383459538958149,assigned,9.0,1.4876416424118881,3.570339941788531
TRIP_000056,1277.6257124402057,41.0586717,-81.5279926,872ab3ac0ffffff,41.0449254,-81.4447877,872ab3ae8ffffff,5.460458587803541,1.0,7.368366870242833,assigned,81.0,0.5047868725443361,1.211488494106406
TRIP_000057,1294.3698284261293,41.0617548,-81.522994,872ab3ac0ffffff,41.079496,-81.46529,872ab3ae1ffffff,3.593606084619441,1.0,5.874884867695552,assigned,47.0,0.371111611381153,0.8906678673147671
TRIP_000058,1367.08888929447,41.079722,-81.576082,872ab3ad5ffffff,41.050391,-81.548018,872ab3ac2ffffff,3.289836408349142,1.0,5.631869126679314,assigned,16.0,1.4867344522240131,3.568162685337631
TRIP_000059,1369.0383637611105,41.054475,-81.512102,872ab3ac0ffffff,41.090505,-81.557314,872ab3af3ffffff,4.260900118630272,1.0,6.4087200949042185,assigned,36.0,0.453447594656383,1.088274227175319
TRIP_000060,1381.6218710200346,41.0542654,-81.5431586,872ab3ac2ffffff,41.0663625,-81.5538606,872ab3ac6ffffff,1.7363026590115072,1.0,4.389042127209206,assigned,20.0,1.486503560399175,3.5676085449580213
TRIP_000061,1386.8001417121393,41.1382532,-81.5407192,872ab3af4ffffff,41.1012489,-81.4403533,872ab3ae5ffffff,8.271960811196614,1.0,9.617568648957292,assigned,44.0,1.4874932421361071,3.569983781126659
TRIP_000062,1395.3991354074742,41.1352814,-81.553039,872ab3aa9ffffff,41.114384,-81.552147,872ab3af0ffffff,1.939496186956169,1.0,4.551596949564936,requested,,,
TRIP_000063,1452.4138449986801,41.046988,-81.48818,872ab3aeaffffff,41.039526,-81.584786,872ab3adeffffff,5.977413193308735,1.0,7.781930554646989,assigned,33.0,1.5239908170782561,3.657577960987816
TRIP_000064,1452.4391545319975,41.090674,-81.547594,872ab3af3ffffff,41.077853,-81.555108,872ab3ac6ffffff,1.2549614428210931,1.0,4.003969154256875,assigned,87.0,1.487113984437022,3.5690735626488532
TRIP_000065,1458.2002170984601,41.0798468,-81.5092154,872ab3ac4ffffff,41.1064118,-81.449983,872ab3ae5ffffff,4.427744925188773,1.0,6.542195940151019,assigned,73.0,0.109903698973195,0.263768877535668
